StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"This survey is being conducted by students in GS 102 for a class assignment. It should only take about 3 minutes to fill out the survey. Your participation is voluntary and your responses are anonymous to ensure your privacy. You are free to decline to answer any questions. The survey will ask about your consumption and transportation habits since March 2020. We do not anticipate risks to survey respondents, although questions about current lifestyle patterns might be sensitive for some respondents. While there is no direct benefit to you as a participant, the results from the study may help us understand the environmental implications of the changes in habits of Cal undergraduates since the shelter-in-place order went into effect. By consenting to participate in this survey, you are verifying that you are currently a UC Berkeley undergraduate and that you are voluntarily agreeing to partake in this research. If you have any questions about this study, you can send an email to paget@berkeley.edu.","Since the stay at home order in March, have you increased your spending on shipped and delivered items with stores such as Amazon or other online retailers?","Since the stay at home order in March, have you purchased and consumed more take out meals than you previously did?",How many single-use masks and/or filters have you used in the past week?,How has your use of personal cars changed since the pandemic?,How has your use of public transit changed since the pandemic?,"How has your use of carpool/rideshare (Uber, Lyft, etc) changed since the pandemic?",How has your use of walking/bicycling changed since the pandemic?,"Since the stay-at home order, have you used reusable bags at the grocery store more?",What is your race/ethnicity?,What is your gender?,In which program is your primary major located?,What is your current year at UC Berkeley?,Are you a transfer student?,Where are you currently residing?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}"
2020-10-15 13:15:18,2020-10-15 13:19:59,Survey Preview,100,281,True,2020-10-15 13:19:59,R_2uwcjxvQ7y40TT7,preview,EN,I consent to participate in this survey.,"Yes, slightly more","No, significantly less",0,Decreased,Not changed,Not changed,Decreased,"No, I use them significantly less",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",5th year or higher,No,In California with family
2020-10-15 16:02:35,2020-10-15 16:04:19,IP Address,100,103,True,2020-10-15 16:04:20,R_1i8VsKRWHj9oV4i,anonymous,EN,I consent to participate in this survey.,No change,"No, significantly less",0,Decreased,Decreased,Decreased,Decreased,"No, I use them significantly less",Chicanx/Latinx,Male,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",5th year or higher,No,In California with family
2020-10-15 16:22:43,2020-10-15 16:25:02,IP Address,100,138,True,2020-10-15 16:25:02,R_301R4orVBGtpSuU,anonymous,EN,I consent to participate in this survey.,No change,"No, slightly less",0,Not changed,Decreased,Decreased,Not changed,"No, I use them significantly less",White,Male,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",5th year or higher,No,In California with family
2020-10-15 17:22:07,2020-10-15 17:23:28,IP Address,100,80,True,2020-10-15 17:23:28,R_2tLnQwWGqtuZGsg,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",0,Increased,Decreased,Decreased,Increased,"No, I use them significantly less",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In Berkeley/Campus Housing
2020-10-15 17:24:27,2020-10-15 17:26:06,IP Address,100,99,True,2020-10-15 17:26:06,R_2ZCvRjqICOLAJSt,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",0,Not changed,Decreased,Decreased,Increased,No change,White,Male,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",Senior,No,In California with peers or alone
2020-10-15 17:45:48,2020-10-15 17:47:11,IP Address,100,82,True,2020-10-15 17:47:11,R_2QSOHlzO4LIorTU,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",0,Increased,Decreased,Decreased,Decreased,"No, I use them slightly less",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In California with family
2020-10-15 17:47:23,2020-10-15 17:52:20,IP Address,100,296,True,2020-10-15 17:52:20,R_2YRJdlk34VaoVcP,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",0,Not changed,Not changed,Not changed,Increased,"No, I use them slightly less",White,Female,"L&S Undergraduate Studies Division (e.g., American Studies, Applied Languages, Creative Writing, Data Science, Disability Studies, Interdisciplinary Studies, Media Studies)",Senior,No,In California with peers or alone
2020-10-15 17:54:14,2020-10-15 17:55:37,IP Address,100,82,True,2020-10-15 17:55:37,R_1GCaPKiBlNi4fuU,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, significantly more",0,Decreased,Not changed,Not changed,Increased,"Yes, I use them significantly more",Decline to State,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Sophomore,No,In Berkeley/Campus Housing
