StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q12,Q13,Q14,Q15
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"This survey is being conducted by students in GS 102 for a class assignment. It should only take you 3 minutes to complete. Your participation is voluntary and your responses are anonymous to ensure your privacy. You are free to decline to answer any questions. The survey explores whether and/or in what ways environmental considerations shape the decisions Cal undergrads make. While there is no direct benefit to you as a participant, the results from the study may help us understand how environmental issues shape your everyday choices (actions, purchases, recycling...) By consenting to participate in this survey, you are verifying that you are currently a UC Berkeley undergraduate and that you are voluntarily agreeing to partake in this research. If you have any questions about this study, you can send an email to paget@berkeley.edu. Thank you !",My time at UC Berkeley has increased my awareness about making environmentally conscious decisions.,UC Berkeley’s infrastructure and services contribute to students’ ability to make environmentally conscious decisions.,I am involved in organizations/clubs that contribute to combating climate change.,I take climate change into consideration when making everyday purchasing decisions.,I take public transportation because I want to reduce my ecological footprint.,My food consumption reflects my desire to reduce my ecological footprint.,I recycle/compost because I want to reduce my ecological footprint.,My socioeconomic status has a significant impact on my environmental considerations.,Choosing a career that in some way works to combat climate change is a top priority for me.,I am a ...,In which program is your primary major located?,I identify as ...,"Which race / ethnicity do you identify with the most? *(We understand these options are limited, but we are using this to compare to UC Berkeley’s Demographics.)",I am an ...,What U.S. political party do you most identify with?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID17""}","{""ImportId"":""QID14""}","{""ImportId"":""QID13""}","{""ImportId"":""QID12""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}"
2021-10-11 10:20:07,2021-10-11 10:21:51,Survey Preview,100,104,True,2021-10-11 10:21:51,R_3HZxxceXBCtVFNB,preview,EN,,,,,,,,,,,,,,,,
2021-10-12 10:53:14,2021-10-12 10:54:27,IP Address,100,72,True,2021-10-12 10:54:27,R_3KqLbGiBoaCAT9k,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Agree,Neither agree or disagree,Disagree,Agree,Strongly agree,Agree,Junior,College of Natural Resources,Female,White,In state student,Undecided
2021-10-12 10:53:28,2021-10-12 10:54:54,IP Address,100,85,True,2021-10-12 10:54:54,R_2uPCdS28dZWmtp0,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Senior/5th year+,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,Asian,In state student,Independent
2021-10-12 10:53:24,2021-10-12 10:56:44,IP Address,100,200,True,2021-10-12 10:56:44,R_2QAQUsURQmC0YZa,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,Yes,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Senior/5th year+,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Male,White,In state student,Prefer not to state
2021-10-12 10:55:14,2021-10-12 10:56:52,IP Address,100,98,True,2021-10-12 10:56:52,R_scVvxeecZrnzFeN,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,Yes,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Freshman,L&S Undeclared/Undecided on Major,Female,White,In state student,Democratic Party
2021-10-12 10:53:23,2021-10-12 10:57:14,IP Address,100,230,True,2021-10-12 10:57:14,R_2VF5DZh6NXYXzkU,anonymous,EN,I consent to participate in this survey.,Agree,Neither agree or disagree,No,Agree,Agree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Agree,Junior,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,Decline to State,In state student,Democratic Party
2021-10-12 10:53:23,2021-10-12 10:57:32,IP Address,100,248,True,2021-10-12 10:57:32,R_4YO6dP0OAPa7mBr,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Disagree,Disagree,Neither agree or disagree,Agree,Agree,Agree,Junior,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,White,International student,Independent
2021-10-12 10:54:19,2021-10-12 10:58:13,IP Address,100,233,True,2021-10-12 10:58:13,R_1QgX6BDpkS2N2ms,anonymous,EN,I consent to participate in this survey.,Agree,Agree,Yes,Disagree,Disagree,Disagree,Strongly agree,Agree,Disagree,Junior,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Male,Chicanx/Latinx,In state student,Independent
2021-10-12 10:53:27,2021-10-12 10:59:15,IP Address,100,347,True,2021-10-12 10:59:15,R_24CnsEU3sWEcs9c,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,No,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Junior,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,Asian,In state student,Democratic Party
2021-10-12 10:53:23,2021-10-12 10:59:27,IP Address,100,364,True,2021-10-12 10:59:28,R_2bZD5RixMa8Opcy,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Agree,No,Agree,Agree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Senior/5th year+,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,White,International student,Undecided
